,n_word,n_firstSound,n_word_len,adj,adj_len,ncomp,ncomp_len,ncomp_lemma,ncomp_lemma_len,nmod,nmod_len,nmod_lemma,nmod_lemma_len,n_id,sen_id
0.0,story,Consonant,5,,0,,0,,0,,0,,0,6,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0001
1.0,individuals,Vowel,11,,0,,0,,0,,0,,0,7,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
2.0,jurists,Consonant,7,,0,,0,,0,courts,6,court,5,11,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
3.0,courts,Consonant,6,federal,7,,0,,0,area,4,area,4,14,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
4.0,area,Consonant,4,,0,,0,,0,,0,,0,18,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
5.0,year,Consonant,4,,0,,0,,0,,0,,0,10,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
6.0,term,Consonant,4,,0,year,4,year,4,judge,5,judge,5,11,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
7.0,judge,Consonant,5,associate,9,,0,,0,,0,,0,14,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
8.0,year,Consonant,4,,0,,0,,0,,0,,0,12,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
9.0,term,Consonant,4,,0,year,4,year,4,judge,5,judge,5,13,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
10.0,judge,Consonant,5,associate,9,,0,,0,,0,,0,16,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
11.0,sheikh,Consonant,6,,0,,0,,0,chair,5,chair,5,2,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
12.0,wheel,Consonant,5,,0,,0,,0,,0,,0,4,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
13.0,chair,Consonant,5,,0,wheel,5,wheel,5,,0,,0,6,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
14.0,F,Consonant,1,,0,,0,,0,,0,,0,12,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
15.0,bomb,Consonant,4,,0,,0,,0,,0,,0,17,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
16.0,years,Consonant,5,,0,,0,,0,,0,,0,5,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
17.0,reasons,Consonant,7,,0,,0,,0,,0,,0,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
18.0,leader,Consonant,6,spiritual,9,,0,,0,,0,,0,23,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
19.0,Today,Consonant,5,,0,,0,,0,,0,,0,1,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
20.0,incident,Vowel,8,,0,,0,,0,,0,,0,3,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
21.0,patience,Consonant,8,,0,,0,,0,,0,,0,10,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
22.0,hope,Consonant,4,,0,,0,,0,peace,5,peace,5,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
23.0,peace,Consonant,5,,0,,0,,0,,0,,0,15,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
24.0,people,Consonant,6,Nervous,7,,0,,0,,0,,0,2,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
25.0,mistakes,Consonant,8,,0,,0,,0,,0,,0,4,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
26.0,wave,Consonant,4,,0,,0,,0,attacks,7,attack,6,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
27.0,attacks,Consonant,7,"succesfull, arab","10, 4",,0,,0,,0,,0,17,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
28.0,city,Consonant,4,eastern,7,,0,,0,,0,,0,4,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
29.0,guerrillas,Consonant,10,,0,,0,,0,,0,,0,8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
30.0,car,Consonant,3,,0,,0,,0,,0,,0,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
31.0,bomb,Consonant,4,,0,car,3,car,3,,0,,0,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
32.0,police,Consonant,6,,0,,0,,0,,0,,0,15,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
33.0,station,Consonant,7,,0,police,6,police,6,,0,,0,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
34.0,people,Consonant,6,several,7,,0,,0,,0,,0,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
35.0,helicopter,Consonant,10,,0,,0,,0,,0,,0,6,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
36.0,fire,Consonant,4,hostile,7,,0,,0,,0,,0,9,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
37.0,heartland,Consonant,9,Sunni,5,,0,,0,,0,,0,15,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
38.0,time,Consonant,4,,0,,0,,0,,0,,0,19,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
39.0,crew,Consonant,4,,0,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
40.0,hundreds,Consonant,8,,0,,0,,0,demonstrators,13,demonstrator,12,4,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
41.0,demonstrators,Consonant,13,,0,,0,,0,,0,,0,6,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
42.0,troops,Consonant,6,,0,,0,,0,,0,,0,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
43.0,bride,Consonant,5,"yound, newlywed","5, 8",,0,,0,,0,,0,19,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
44.0,army,Consonant,4,,0,,0,,0,,0,,0,7,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
45.0,amount,Consonant,6,enormous,8,,0,,0,information,11,information,11,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
46.0,information,Vowel,11,,0,,0,,0,,0,,0,13,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
47.0,relatives,Consonant,9,,0,,0,,0,,0,,0,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
48.0,move,Consonant,4,,0,,0,,0,,0,,0,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
49.0,tradeoff,Consonant,8,"bad, bad","3, 3",,0,,0,,0,,0,27,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
50.0,troops,Consonant,6,,0,,0,,0,,0,,0,3,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
51.0,crowd,Consonant,5,hostile,7,,0,,0,,0,,0,8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
52.0,manhunt,Consonant,7,,0,,0,,0,"officials, heartland","9, 9","official, heartland","8, 9",8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
53.0,officials,Vowel,9,high,4,,0,,0,,0,,0,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
